empties	side	book_wl	book_ssM	result	nodes	seconds	board
13	b	0.9765	14.60	WIN	327	0.0	.O..X..XOXOO.O.XOOOOX.XXXOXXOX.OXX.XOOOXXO.O.XXO.
13	b	0.9917	8.25	WIN	4244607	8.0	.O.OXO.XOOOX..OX.OXX..XXXOX.XXOOOOXXOO.OXX.O.XXO.
14	b	0.9702	6.81	WIN	893411	1.5	.O..O.O..XOOOX.XXO.XXXXOXXXXOOOOOX.OX.O.OX..XXOO.
14	b	0.9903	57.40	UNSOLVED	1500000008	405.5	.X.X.X.XOXXXO..O.XOO.OOOXO.OOXXOOX.O.XXOXO.X.XXO.
14	b	0.9925	3.92	UNSOLVED	1500000008	395.8	.OXX....XOXXXOOXOOXXOO.OXOOO.OOX.O..OXXXOX.X.X.X.
14	w	0.0314	0.04	WIN	2992	0.0	..XOOO.....XOXOOOOOXXOXOXXX.OXXOXX.X.XOOOX..XO.X.
14	w	0.9920	14.14	WIN	1786262	2.2	.OXO.O...XOOOX.XXO.X.XXOXXX.XOOOOXXXXO.OOX.OOX...
14	w	0.9950	12.01	WIN	679369	1.0	.O.XXO.O.XXOX.XXXOOO.XOOXOX..O.XOXOOOXXXOO.X...X.
15	b	0.0045	0.07	WIN	2	0.0	...OOOX....XOXOOOOOXXOXOXXX.OXXOOX.X.XO.O..XXXO..
16	b	-0.9922	-11.18	WIN	2662	0.0	...OO..XOOXXXX..OOX.XOOOXOXOXXOXOO...XXXO.XX...X.
16	b	0.0031	0.02	WIN	747	0.0	.O.....XOOOXO..X.OXOO.XXXOOX.OXOXXXOXOOX.X.X..OX.
16	b	0.9945	2.13	WIN	409	0.0	.XO.XX.OOXXXOX.XOXO.O.OOXOOO..OOXXX.XOXX...O.O...
16	w	-0.9925	-8.22	WIN	9119	0.0	.X...X.X.XO.X..XOOOOO.XXXOXO.XOOXXOXOOX.XO...OXX.
16	w	-0.9926	-8.25	WIN	166	0.0	.....X..X.OX.XOOOOOX.OXOXXXXOXXOOX..X.XOOX.XX.XO.
16	w	0.9788	2.89	WIN	12250799	12.2	.O.....XOXO.XOOXOOOO..XXXOXXXX.OXX.XOOOXO..XO..X.
16	w	0.9819	5.53	WIN	119870	0.3	.....X..OXXXOO.XOXOXX.OOXOO..XXOOX.X.XXOX..OXOOO.
17	b	-0.9641	-34.84	WIN	8353	0.0	.O..OX.XXXXOX..OXOOO.O.OXO...OOXOXX.OXXXOO.X...X.
17	w	0.0186	0.01	WIN	114420	0.3	.XO..X.OOXXXO..XOXOOO.OOXOOX..OOXXX..OXX.X...OX..
17	w	0.9850	2.23	WIN	2670	0.0	.XOOO....XXO..XXXOO..OOOXO...OXXOO.XOXXXOX.X.X.X.
18	b	-0.0056	0.11	WIN	872	0.0	.O.....XOO....XXOOOOO.XXXOXOOXOOXXXXOOX.X...X.X..
18	b	-0.0225	0.05	WIN	14866	0.0	.XO....XOO.....XOOOOOXXXXOXO.X.OXXXXOOOX...X.X.O.
18	w	0.0123	0.04	WIN	24878	0.0	.X.XX..XOOOX...X.OXXX.XXXOXOXXOOOOOXOO....OO.....
18	w	0.9896	3.86	WIN	108521	0.2	.X.....OOXXXOXXXOXOX...OXOOO..OOXX..XOXX...OOOX..
18	w	0.9951	2.13	WIN	11186	0.0	....XO.OX.OXOX.OOOOX..XOXXXX.XXOXX...XOOOX....O.O
19	b	0.0088	0.03	WIN	382652	1.0	.X.OX..XOOOX..OX.OXXX.XXXOXO.XOOOOOXOX.....O.....
19	w	0.0061	0.07	WIN	323	0.0	....OO.O...XOXOOOOOXXOXOXXX.OXX..X.X.X.XO..X.XO..
20	b	-0.0113	0.00	WIN	18413	0.1	.X.X.X.XOXXXOOOO.XOO..OOXO..XXXOO....XXOO.....X..
20	b	-0.9586	-9.24	WIN	215450	0.5	....X.....X.XO.O.XXO.OXXXOOO.OOOXO.O.OXXXO.XXO...
20	b	0.0035	0.05	WIN	8778	0.0	.O.OXX.XOOX.X..XOOXX..XXXOXO.XOOOOXXOO...........
20	b	0.0224	0.02	WIN	2159	0.0	.......OO.OXO.OX.OXO.XXXXOOX.OXOXX..XOOX.X....OX.
20	w	-0.0149	0.02	WIN	7539	0.0	.X...X.OOXXXO..OOXOO.XXOXO...OXOO..XOXXO...X..X..
20	w	0.0133	0.07	WIN	28486355	70.5	...XO..XOO..OO.XOOOX..XXXOX..X.OXX.XOOOX...O.XX..
22	b	-0.0086	0.00	WIN	23	0.0	.......OOO.OOOOXOOOOXXXXXOXX.X..XX.X.XX....X.....
22	b	0.0152	0.03	WIN	21	0.0	..XOXX..XOOOX...OOOX.O.OXXXX.OXOOX.OXX...........
22	b	0.9778	34.58	WIN	25162	0.1	.OX..O.XOX..XO.XOOOO..XXXOXO.O.OXX..O.OX......X..
22	w	-0.0210	0.00	WIN	1559	0.0	O......XO..O.O.XOOOOX.XXXOXXXXOOXX.X.XO....X.....
22	w	-0.0441	-0.06	WIN	159	0.0	.X......OXOOX..XXOXXXXXOXXX.OOOOOXX.....OO.......
22	w	0.0330	0.03	WIN	63411827	94.5	.O.XOO.XXO.OXX..OOOX.OOOXX..XOXO.X.XXX...........
22	w	0.9801	3.62	WIN	357462950	279.6	..X......XOOOX.XXO....XOXXX..OOOOX.OX..XOX..X.OO.
22	w	0.9815	3.82	WIN	1307137572	517.1	.OXO....X.OXXXXXOOXO.OOOXOO.OXXXX..XO............
23	b	0.0227	0.08	WIN	290569	0.9	...X...OXX.X...OOX...O.OXO...XOOXX.OX.OOX..O.OXX.
23	w	0.0023	0.01	WIN	150830018	214.5	...O.X...XOOOX.XXOX...XOXXXXXOOOOX.....OOX.......
24	b	-0.9772	-37.39	WIN	692799	1.2	.OO.O..X.XOO...XXOXO.XOOXX...OX.X...OXX....XO....
24	b	0.0009	0.03	WIN	55	0.0	.....X....XXOOXXXXO.....XO..XXXOO..O.XXO...XOOO..
24	b	0.0096	0.11	WIN	73186	0.5	.......XXXX...OOXOO...OOXXX...OXOX..XOOOX....O.O.
24	w	-0.0041	0.00	WIN	129455	0.4	.XXO....XOO..O.XOOO....XXO.O..XOXO...X.XXO.....XX
24	w	-0.0427	-0.09	WIN	712969	1.1	..X..X....XXXO...XOO..XOXO...XXOO..OXOO....XXO.O.
24	w	0.0194	0.03	WIN	4772173	6.1	.......XXX.OX.XOXO...OOOXXX...OOOX..XO.OXX.....O.
25	b	-0.0319	-0.01	WIN	6266	0.0	.XOO...OXXOO..XOOXO...X.XO.....XOO....XXO.....XX.
25	b	-0.9866	-37.11	WIN	137099	0.4	.....X..XXXXO..XOXO...OOXO..OXXOO....XXO...O.O...
25	b	0.0011	0.05	WIN	23881896	32.1	...........XOO.OOOOXO.XOXXXX.XXOX.O..XOOX........
25	b	0.0062	0.04	WIN	22826727	21.0	.....XX...XXXO...XOO..OOXO...XXOO.O.XOO....XXO...
25	w	0.9651	2.15	WIN	3037	0.0	...........XXO.XOOXO.XXXXOO..XOOO...XO.OX..X.X...
26	b	-0.0025	0.04	WIN	62197	0.2	.......O....OX.OOOOXOOXOXXX..XXOOX....X.OX.......
26	w	0.0104	0.01	WIN	25347027	20.9	.........XOXX....XO.X..XXOOO..XOXX..XOOOX..O...O.
26	w	0.9986	2.24	WIN	4975142	6.9	...X.....XOX.X...OXXO.XXXOOO.XOOO..XOO....X......
